DeployID,Ptt,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Frequency
20992,80435,DS,5,2,0,,,12/9/2009 2:50,L,1,47.67599869,-122.1329956,401677485
20992,80435,DS,8,2,1,,,12/9/2009 3:57,M,,,,
20992,80435,DS,12,3,2,,,12/9/2009 4:13,A,1,47.6780014,-122.1329956,401677467
20992,80435,DS,8,6,0,,,12/9/2009 5:42,M,3,47.6780014,-122.1349945,401677471
20992,80435,DS,9,6,0,,,12/9/2009 5:53,A,3,47.67699814,-122.1349945,401677471
20992,80435,DS,3,0,3,84,56,3/28/2010 18:05,P,,,,
20992,80435,DS,7,0,7,65,56,3/28/2010 18:24,K,2,71.33000183,-156.6779938,401677481
20992,80435,DS,12,0,12,61,56,3/28/2010 18:38,L,,,,
20992,80435,DS,12,0,12,61,56,3/28/2010 18:45,A,1,71.32900238,-156.6210022,401677464
20992,80435,DS,8,0,8,72,56,3/28/2010 18:45,N,2,71.32800293,-156.6390076,401677466
20992,80435,DS,13,2,12,,,3/28/2010 18:48,M,1,71.32900238,-156.6269989,401677463
20992,80435,DS,10,0,9,68,56,3/28/2010 19:43,P,3,71.32299805,-156.6699982,401677431
20992,80435,DS,7,0,7,74,56,3/28/2010 20:01,K,3,71.32099915,-156.6549988,401677432
20992,80435,DS,10,0,10,62,56,3/28/2010 20:24,L,3,71.3239975,-156.6649933,401677431
20992,80435,DS,12,1,11,,,3/28/2010 20:25,N,3,71.3239975,-156.6660004,401677432
20992,80435,DS,16,3,15,,,3/28/2010 20:26,A,3,71.3239975,-156.6690064,401677431
20992,80435,DS,13,2,12,,,3/28/2010 20:29,M,3,71.32499695,-156.6690064,401677431
20992,80435,DS,11,0,6,56,56,4/2/2010 18:05,K,2,71.41400146,-157.5769959,401677342
20992,80435,DS,7,0,4,74,56,4/2/2010 18:31,M,1,71.40899658,-157.5890045,401677336
20992,80435,DS,9,0,4,70,56,4/2/2010 18:41,A,1,71.42700195,-157.6210022,401677343
20992,80435,DS,7,0,4,102,56,4/2/2010 18:53,P,2,71.41799927,-157.5829926,401677345
20992,80435,DS,13,0,6,56,56,4/2/2010 19:27,L,1,71.42199707,-157.6029968,401677340
20992,80435,DS,8,0,7,64,56,4/2/2010 19:36,N,0,71.39700317,-157.6320038,401677348
20992,80435,DS,7,0,5,74,56,4/2/2010 19:43,K,1,71.4240036,-157.6199951,401677345
20992,80435,DS,9,0,3,63,56,4/2/2010 20:13,M,3,71.41899872,-157.6560059,401677340
20992,80435,DS,10,0,4,56,56,4/2/2010 20:25,A,3,71.41999817,-157.6750031,401677340
20992,80435,DS,6,0,5,67,56,4/2/2010 20:31,P,1,71.41899872,-157.6719971,401677339
20992,80435,DS,1,0,0,,,4/2/2010 21:05,L,,,,
20992,80435,DS,6,0,1,100,56,4/3/2010 18:06,M,1,71.40699768,-158.4759979,401677350
20992,80435,DS,7,0,2,84,56,4/3/2010 18:22,A,1,71.40100098,-158.4530029,401677345
20992,80435,DS,7,0,3,84,56,4/3/2010 18:43,P,2,71.39399719,-158.4779968,401677343
20992,80435,DS,8,0,0,56,56,4/3/2010 19:17,L,2,71.38500214,-158.4859924,401677345
20992,80435,DS,4,0,1,56,56,4/3/2010 19:19,K,2,71.38400269,-158.4920044,401677346
20992,80435,DS,5,0,0,56,56,4/3/2010 19:24,N,2,71.38400269,-158.4960022,401677344
20992,80435,DS,10,0,1,56,56,4/3/2010 19:51,M,3,71.38200378,-158.5140076,401677342
20992,80435,DS,8,0,0,56,56,4/3/2010 20:05,A,3,71.3789978,-158.5189972,401677342
20992,80435,DS,7,0,1,65,56,4/3/2010 20:24,P,2,71.37799835,-158.5279999,401677341
20992,80435,DS,1,0,1,,,4/3/2010 20:55,L,,,,
20992,80435,DS,4,0,1,56,56,4/3/2010 21:03,N,1,71.3690033,-158.5350037,401677382
20992,80435,DS,2,0,1,56,56,4/4/2010 18:56,K,B,71.30999756,-158.9850006,401677433
20992,80435,DS,5,0,1,112,56,4/4/2010 19:02,L,,,,
20992,80435,DS,3,0,0,224,56,4/4/2010 19:12,N,A,71.24199677,-159.0449982,401677375
20992,80435,DS,6,0,0,67,56,4/4/2010 19:28,M,1,71.25900269,-159.0269928,401677424
20992,80435,DS,5,0,0,70,56,4/4/2010 19:43,A,2,71.2519989,-159.0319977,401677431
20992,80435,DS,8,0,3,64,56,4/4/2010 20:13,P,3,71.25700378,-159.0449982,401677433
20992,80435,DS,4,0,1,56,56,4/4/2010 20:34,K,1,71.25700378,-159.0619965,401677437
20992,80435,DS,6,0,0,56,56,4/4/2010 20:43,L,1,71.2480011,-159.0599976,401677442
20992,80435,DS,8,0,1,72,56,4/4/2010 20:52,N,1,71.2480011,-159.0789948,401677438
20992,80435,DS,5,0,1,70,56,4/4/2010 21:04,M,0,71.25700378,-159.0809937,401677414
20992,80435,DS,9,0,0,56,56,4/5/2010 18:21,P,2,71.27500153,-158.8600006,401677344
20992,80435,DS,11,0,0,67,56,4/5/2010 18:33,K,1,71.27100372,-158.8390045,401677348
